X_id,from_user_id,location,jDate,iso_language_code,to_user_name,in_reply_to_status_id_str,id,to_user_id,to_user_id_str,in_reply_to_status_id,from_user,created_at,to_user,place,metadata,text,geo,from_user_name,profile_image_url_https,rClass,source,from_user_id_str,LOCAL__created_at,id_str,profile_image_url,manual_class
4ff4fc39841f4e48e0000000,27077268,Chicago,Fri Apr 20 18:43:11 CDT 2012,en,,,193484993899672000,,,,IreneOConnor18,"Fri, 20 Apr 2012 23:43:11 +0000",,,"{ ""result_type"" : ""recent""}",Please pray that my ghetto chinese meal doesnt give me food poisoning http://t.co/g9MhCfCw,,Irene O'Connor,https://si0.twimg.com/profile_images/1880539812/koh4_normal.jpg,not a food poisoning tweet,NA,NA,NA,NA,NA,0
4ff4fc39841f4e48e0000001,321804035,"Chicago, IL",Fri Apr 20 17:10:13 CDT 2012,en,,,193461595433742000,,,,jimmfongvie,"Fri, 20 Apr 2012 22:10:13 +0000",,,"{ ""result_type"" : ""recent""}",http://t.co/0kK7rtQO Mistakes That Up Your Risk of Food Poisoning,,Jimmy Fong,https://si0.twimg.com/sticky/default_profile_images/default_profile_0_normal.png,not a food poisoning tweet,NA,NA,NA,NA,NA,0
4ff4fc39841f4e48e0000002,317651319,Chicago,Fri Apr 20 15:46:11 CDT 2012,en,,,193440447857828000,,,,BKORNOWAY,"Fri, 20 Apr 2012 20:46:11 +0000",,,"{ ""result_type"" : ""recent""}",“@DGainzBeats I got food poisoning last night..” You always getting good poisoning wtf!,,Yana MONROE,https://si0.twimg.com/profile_images/2108082717/IMG_20120413_010455_normal.jpg,food poisoning tweet,NA,NA,NA,NA,NA,1
4ff4fc39841f4e48e0000003,303387318,Chicago,Fri Apr 20 15:07:43 CDT 2012,da,,,193430768498905000,,,,EmmaRenaMusic,"Fri, 20 Apr 2012 20:07:43 +0000",,,"{ ""result_type"" : ""recent""}",Food poisoning &lt;&lt;,,EmmaRena,https://si0.twimg.com/profile_images/2036771430/302110_276112392412310_273304042693145_885447_252445421_n_normal.jpg,food poisoning tweet,NA,NA,NA,NA,NA,1
4ff4fc39841f4e48e0000004,304105414,Chicago,Fri Apr 20 14:21:55 CDT 2012,en,,,193419242622824000,,,,YouLoveCristyn,"Fri, 20 Apr 2012 19:21:55 +0000",,,"{ ""result_type"" : ""recent""}",RT @amandamikol: The best part of Bridesmaids is definitely when they're trying on dresses & have food poisoning.,,Cristyn Henriquez,https://si0.twimg.com/profile_images/2020999587/image_normal.jpg,not a food poisoning tweet,NA,NA,NA,NA,NA,0
4ff4fc39841f4e48e0000005,60971865,Chicago,Fri Apr 20 14:16:19 CDT 2012,en,,,193417831541510000,,,,godoysgotswag,"Fri, 20 Apr 2012 19:16:19 +0000",,,"{ ""result_type"" : ""recent""}",RT @amandamikol: The best part of Bridesmaids is definitely when they're trying on dresses & have food poisoning.,,Cindy Godoy,https://si0.twimg.com/profile_images/2046866688/image_normal.jpg,not a food poisoning tweet,NA,NA,NA,NA,NA,0
4ff4fc39841f4e48e0000006,93996799,Chicago,Fri Apr 20 13:51:33 CDT 2012,en,,,193411599879520000,,,,amandamikol,"Fri, 20 Apr 2012 18:51:33 +0000",,,"{ ""result_type"" : ""recent""}",The best part of Bridesmaids is definitely when they're trying on dresses & have food poisoning.,,Amanda Mikol ♡,https://si0.twimg.com/profile_images/2150597834/Photo1716_normal.jpg,not a food poisoning tweet,NA,NA,NA,NA,NA,0
4ff4fc39841f4e48e0000007,70876061,"Chicago, IL",Fri Apr 20 08:10:39 CDT 2012,en,,,193325810906710000,,,,DGainzBeats,"Fri, 20 Apr 2012 13:10:39 +0000",,,"{ ""result_type"" : ""recent""}",I got food poisoning last night..,,DGainz,https://si0.twimg.com/profile_images/1858491870/dggd_normal.jpg,food poisoning tweet,NA,NA,NA,NA,NA,1
4ff4fc39841f4e48e0000008,321804035,"Chicago, IL",Fri Apr 20 07:55:27 CDT 2012,en,,,193321986041201000,,,,jimmfongvie,"Fri, 20 Apr 2012 12:55:27 +0000",,,"{ ""result_type"" : ""recent""}",http://t.co/0kK7rtQO Mistakes That Up Your Risk of Food Poisoning,,Jimmy Fong,https://si0.twimg.com/sticky/default_profile_images/default_profile_0_normal.png,not a food poisoning tweet,NA,NA,NA,NA,NA,0
4ff4fc39841f4e48e0000009,58466833,Carribean ✈ Chicago,Thu Apr 19 18:55:23 CDT 2012,en,,,193125675597697000,,,,OnlyOneRaye,"Thu, 19 Apr 2012 23:55:23 +0000",,,"{ ""result_type"" : ""recent""}",Michael Jordan played & won when he had the flu & food poisoning.,,Raye of Sunshyne☀❤,https://si0.twimg.com/profile_images/1735625351/image_normal.jpg,food poisoning tweet,NA,NA,NA,NA,NA,0
4ff4fc3a841f4e48e000000a,281611997,"Chicago, IL",Thu Apr 19 17:29:36 CDT 2012,en,Kat DeJesus,193098914893795000,193104084922925000,42572463,42572463,193098914893795000,RiceCandies,"Thu, 19 Apr 2012 22:29:36 +0000",KatDMakeup,,"{ ""result_type"" : ""recent""}",@KatDMakeup I got really bad food poisoning from a potluck once... with my own food. -_- luckily no one else got sick,,Jocelynne Gonzales,https://si0.twimg.com/profile_images/1884419563/RiceCandies_normal.jpg,food poisoning tweet,NA,NA,NA,NA,NA,0
4ff4fc3a841f4e48e000000b,74608388,downtown Chicago,Thu Apr 19 17:10:05 CDT 2012,en,,,193099174114361000,,,,EvieTheCool,"Thu, 19 Apr 2012 22:10:05 +0000",,,"{ ""result_type"" : ""recent""}",“@KatDMakeup: Food poisoning sucks :'(” oh no are you okay?,,Coolest Chick Ever,https://si0.twimg.com/profile_images/1993774491/photo_normal.JPG,food poisoning tweet,NA,NA,NA,NA,NA,1
4ff4fc3a841f4e48e000000c,60362862,"Chicago, IL",Thu Apr 19 17:04:38 CDT 2012,en,Stivo,193097479045120000,193097802753131000,179550800,179550800,193097479045120000,KatrinaC26,"Thu, 19 Apr 2012 22:04:38 +0000",StivoReact,,"{ ""result_type"" : ""recent""}",@StivoReact @MQueen24 hahaha wtf if u can cook why ain't no one cooking for me?! If Chris try's I may get food poisoning lol,,Katrina,https://si0.twimg.com/profile_images/2095593171/KatrinaC26_normal.jpg,food poisoning tweet,NA,NA,NA,NA,NA,0
4ff4fc3a841f4e48e000000d,175871591,chicagooo.,Thu Apr 19 16:15:20 CDT 2012,en,,,193085398229058000,,,,rickinyoface,"Thu, 19 Apr 2012 21:15:20 +0000",,,"{ ""result_type"" : ""recent""}",i think i got food poisoning .,,ʀickʀickʀicky ♣,https://si0.twimg.com/profile_images/1983321276/instagr.am78_normal.jpg,food poisoning tweet,NA,NA,NA,NA,NA,1
4ff4fc3a841f4e48e000000e,277180406,Chicago Illinois,Thu Apr 19 15:20:27 CDT 2012,nl,,,193071582854394000,,,,Tu_MiAmor,"Thu, 19 Apr 2012 20:20:27 +0000",,,"{ ""result_type"" : ""recent""}",FOOD POISONING =(,,Sadie,https://si0.twimg.com/profile_images/2094453873/sadie_normal.jpg,don't know...,NA,NA,NA,NA,NA,1
4ff4fc3a841f4e48e000000f,47487424,Chicago,Thu Apr 19 13:37:45 CDT 2012,en,David Jaycox,193030335120933000,193045741080547000,17272132,17272132,193030335120933000,aliciasucks,"Thu, 19 Apr 2012 18:37:45 +0000",DavidJaycox,,"{ ""result_type"" : ""recent""}",@DavidJaycox that's the only place I ever got food poisoning from. Suckksss.,,Alicia Alexandra,https://si0.twimg.com/profile_images/2137915794/mattynme_normal.jpg,food poisoning tweet,NA,NA,NA,NA,NA,0
